id,Name,Type,Cuisine,Address,District,Rating,Average
BTh_0001,Beefsteak_Titi__Vu_Huy_Tan,Restaurant,Asian,"67/4/118_Vu_Huy_Tan_(Doi_Dien_50),_P._3",Binh_Thanh,3.25,82500
BTh_0002,Hanuri__Quan_An_Han_Quoc__Xo_Viet_Nghe_Tinh,Bistro,Korean,"121_Xo_Viet_Nghe_Tinh,_P._17",Binh_Thanh,3.65,100000
BTh_0003,San_San__Mi_Ga_Quay__Truong_Sa,Bistro,Vietnamese,"66_Truong_Sa,_P._17",Binh_Thanh,3.4,30000
BTh_0004,Goc_Da_Lat__An_Vat_&_Banh_Trang_Nuong,Bistro,Vietnamese,"145_Nguyen_Gia_Tri,_P._25",Binh_Thanh,3.45,19000
BTh_0005,Ba_Con_Soc__BBQ_&_Sushi__Dinh_Bo_Linh,Bistro,Japanese,"139/10_Dinh_Bo_Linh,_P._26",Binh_Thanh,3.45,97500
BTh_0006,Chuoi_Nuong_Chu_Hai,Restaurant,Vietnamese,"29/1_Nguyen_Gia_Tri,_P._25",Binh_Thanh,3.8,25000
BTh_0007,Xoi_Ga_Ba_Chieu,Restaurant,Vietnamese,"Cho_Ba_Chieu,_318_Bui_Huu_Nghia,_P._1_(Quan_Ben_Trong,_Khong_Phai_Xe_Day)",Binh_Thanh,3.1,21500
BTh_0008,Com_Tron_2_Co__Xo_Viet_Nghe_Tinh,Restaurant,Korean,"294/63_Xo_Viet_Nghe_Tinh,_P._21",Binh_Thanh,3.25,40000
BTh_0009,Morico__Contemporary_Japanese_Lifestyle__Saigon_Pearl,Restaurant,Japanese,"Saigon_Pearl,_92_Nguyen_Huu_Canh",Binh_Thanh,3.9,117500
BTh_0010,Banh_Trang_Nuong_C002__Dinh_Tien_Hoang,Restaurant,Vietnamese,"002_Lo_C,_Chung_Cu_23/49_Dinh_Tien_Hoang,_P._3",Binh_Thanh,3.45,16500
BTh_0011,Launch_Coffee,Cafe,Vietnamese,"107_Duong_D5,_P._25",Binh_Thanh,4,30000
BTh_0012,Kimbap_FC__Mon_An_Han_Quoc,Bistro,Korean,"71/5_Dien_Bien_Phu,_P.15",Binh_Thanh,3.15,37500
BTh_0013,Phat_Phu__Banh_Bong_Lan_Trung_Muoi__Van_Kiep__Shop_Online,Restaurant,Vietnamese,"125/21/22_Van_Kiep,_P._3",Binh_Thanh,4.2,155000
BTh_0014,NiNi_Bakery__Banh_Kem_Phap__Nguyen_Gia_Tri,Bakery,French,"190/6_Nguyen_Gia_Tri_(Duong_D2),_P._25",Binh_Thanh,3.05,320000
BTh_0015,Bodo__Mon_Han_&_Mon_Au__Dinh_Bo_Linh,Bistro,Korean,139/23_Dinh_Bo_Linh,Binh_Thanh,3.75,65000
BTh_0016,Sushi_Nhi__Nguyen_Cong_Tru,Restaurant,Japanese,"21_Nguyen_Cong_Tru,_P._19",Binh_Thanh,3.8,40000
BTh_0017,Quan_Pong__Dac_San_Phan_Rang__Nguyen_Gia_Tri,Restaurant,Vietnamese,"168/73_Nguyen_Gia_Tri_(Duong_D2),_P._25",Binh_Thanh,3.4,9500
BTh_0018,Merci_RES__Chao_Ech_Singapore__Vu_Huy_Tan,Bistro,Singapore,35_Vu_Huy_Tan,Binh_Thanh,3.55,62500
BTh_0019,Oc_“Mam_Sua”,Bistro,Vietnamese,"282/4A_Bui_Huu_Nghia,_P._2",Binh_Thanh,3,37000
BTh_0020,Kem_2B,Cafe,Vietnamese,"292/2_No_Trang_Long,_P.12",Binh_Thanh,3.85,40000
BTh_0021,Ga_Nuong_Anh_Tu,Bistro,Vietnamese,"449_Le_Quang_Dinh,_P._5",Binh_Thanh,3.65,70000
BTh_0022,Xien_Nuong_Be_Map_2__No_Trang_Long,Bistro,Vietnamese,"279_No_Trang_Long,_P._13",Binh_Thanh,3.5,32500
BTh_0023,Ga_Ran_Popeyes__Nguyen_Gia_Tri,Restaurant,USA,6769_Nguyen_Gia_Tri_(Duong_D2),Binh_Thanh,3.45,64000
BTh_0024,Banh_Uot_Ban_Me__Duong_So_14,Bistro,Vietnamese,"M4_Duong_So_14,_P._3",Binh_Thanh,3.45,18500
BTh_0025,Ga_Nuong_Lu_Viet_Huong__Le_Quang_Dinh,Bistro,Vietnamese,"449A3_Le_Quang_Dinh,_P._5",Binh_Thanh,3.65,120000
BTh_0026,Le_Steak__Beefsteak_Bo,Restaurant,Asian,"Hem_24_Duong_D5,_P._25",Binh_Thanh,3.65,125000
BTh_0027,Lau_Ga_Ot_Hiem_109__Dinh_Tien_Hoang,Bistro,Vietnamese,"23/2_Dinh_Tien_Hoang,_P._3",Binh_Thanh,3.35,99500
