Name,Type,Cuisine,Address,District,Rating,Average
Kim_Huong_-_Lo_Banh_Mi,Restaurant,Vietnamese,"12B_(So_Cu_C1/6)_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,4.5,18500
Quan_An_Gia_Dinh,Bistro,Vietnamese,168_Duong_So_1,Binh_Chanh,3.95,101000
Xoi_Chien_-_Com_Chay_-_Banh_Trang_Cuon,Restaurant,Vietnamese,C4/13_Pham_Hung,Binh_Chanh,3.4,6500
Com_Chien_Bao_Chau,Restaurant,Vietnamese,"C17/32A_Dinh_Duc_Thien,_Ap_3,_X._Binh_Chanh",Binh_Chanh,4.4,19000
Banh_Canh_Ca_Loc_Bot_Gao_Rino,Bistro,Vietnamese,"154_Duong_So_10_Khu_Dan_Cu,_Xa_Phong_Phu",Binh_Chanh,3.35,36000
Quan_Nuong_Sa_Lu,Bistro,Vietnamese,"103_Duong_So_8,_KDC_Trung_Son",Binh_Chanh,4.4,27500
Bo_Bit_Tet_99_-_Duong_So_1,Bistro,Vietnamese,"33_Duong_So_1,_Ap_2,_Khu_Dan_Cu_Binh_Hung,_X._Binh_Hung",Binh_Chanh,4.85,102500
Nemo_-_An_Vat_Ca_Vien_Chien,Restaurant,Vietnamese,"Quoc_Lo_50,_X._Binh_Hung",Binh_Chanh,3.7,10000
Com_Lam_&_Ga_Met_-_Nguyen_Van_Linh,Bistro,Vietnamese,"C10/4_Nguyen_Van_Linh,_Xa_Binh_Hung",Binh_Chanh,3.35,102500
Tap_Tap_-_Lau_Ca_Vien_&_Xien_Que,Restaurant,Vietnamese,"C10/6_Pham_Hung,_Ap_5,_Xa_Binh_Hung",Binh_Chanh,4.75,15000
IMF_Milk_Tea,Restaurant,Vietnamese,"B11/1_Ap_2,_Quoc_Lo_1A",Binh_Chanh,3.35,127500
King_-_Xoi_Chien_-_Duong_So_9A,Restaurant,Vietnamese,"44_-_46_Duong_So_9A,_Xa_Binh_Hung",Binh_Chanh,3,6000
Co_Nga_-_Pha_Lau_Bo,Restaurant,Vietnamese,"C7/7_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,3.9,15000
Banh_Bao_Tho_Phat_-_Pham_Hung,Bistro,Vietnamese,C5/18_Pham_Hung,Binh_Chanh,4.25,11500
Tra_Sua_Nha_Lam_Ok,Cafe,Vietnamese,"A3/7E_Nguyen_Cuu_Phu,_Xa_Tan_Kien",Binh_Chanh,4.55,15000
"An_Vat_Be_Bong_-_Kho_Ga,_Hat_Dieu_&_Banh_Dai_Loan_-_Binh_Chanh",Restaurant,Vietnamese,"72_Duong_So_13,_KDC_Duong_Hong,_Xa_Binh_Hung",Binh_Chanh,2.9,127500
Bap_Xao_&_Hot_Ga_Nuong_-_Bung_Binh_Trung_Son,Restaurant,Vietnamese,Duong_So_9A,Binh_Chanh,3.3,17500
An_Vat_H2_-_Tan_Liem,Restaurant,Vietnamese,"C5/147B_Ap3_Tan_Liem,_Xa_Phong_Phu",Binh_Chanh,3.15,17500
Ga_Ta_Hoi_An_-_Quoc_Lo_50,Bistro,Vietnamese,"A3/21_Quoc_Lo_50,_Xa_Binh_Hung",Binh_Chanh,3.15,127500
Kem_Ky_Hai_Dang,Cafe,Vietnamese,"A19/8_Quoc_Lo_50,_Xa_Binh_Hung",Binh_Chanh,4.55,18000
Banh_Xeo_Mien_Trung,Restaurant,Vietnamese,"C4/9P_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,3.4,8000
Ga_Bo_Xoi_Vien,Restaurant,Vietnamese,"C4/34_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,3.5,6000
"Ca_Phe,_Tra_Sua,_Sinh_To_&_Rau_Ma_-_Duong_So_10",Cafe,Vietnamese,"33_Duong_So_10,_Khu_Dan_Cu_Ap_5,_Xa_Phong_Phu",Binh_Chanh,3.8,18000
Banh_Xe_Tut_Tut,Restaurant,Malaysian,"C19/7_Ap_4B,_X._Binh_Hung",Binh_Chanh,3.1,16000
Phuc_Loc_Tho_Cafe,Cafe,Vietnamese,"3_Duong_So_22,_Xa_Binh_Hung",Binh_Chanh,4.15,11000
"Hot_Vit_Lon_,_Trung_Vua_&_Trung_Cut_Lon",Restaurant,Vietnamese,"Hem_C4_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,3.65,9500
Mi_Cay_Nasin_-_Bui_Thanh_Khiet,Bistro,Vietnamese,"C1/5B_Bui_Thanh_Khiet,_TT._Tan_Tuc",Binh_Chanh,3.5,24500
Tra_Sua_Ha,Restaurant,Vietnamese,"D11/302_Trinh_Quang_Nghi,_Xa_Phong_Phu",Binh_Chanh,3.9,13500
Tra_Sua_Co_Thao,Restaurant,Vietnamese,B6/199B_Ap_2,Binh_Chanh,4.25,11000
Nha_Nuong_BBQ,Bistro,Vietnamese,"A13/15B_Thien_Giang,_Xa_Tan_Tuc",Binh_Chanh,3.95,93000
Chu_Trung_-_Banh_Hot_Dog,Restaurant,Vietnamese,C5/14_Pham_Hung,Binh_Chanh,3.15,7000
Mai_Coffee_-_Quoc_Lo_1A,Cafe,Vietnamese,"D7/6A_Quoc_Lo_1A,_TT._Tan_Tuc",Binh_Chanh,4.1,11500
Tra_Quan_-_Huong_Lo_80,Cafe,Vietnamese,"D5/1_Huong_Lo_80,_Xa_Vinh_Loc_A",Binh_Chanh,4.4,11500
An_-_Goi_Cuon_&_Bun_Mam_Nem_-_Pham_Hung,Bistro,Vietnamese,"C5/10/6_Pham_Hung,_X._Binh_Hung",Binh_Chanh,3.4,24000
Che_Buoi_Tuong_Vy,Restaurant,Vietnamese,B17/19_Ap_2_Xa_Vinh_Loc_B,Binh_Chanh,4,14000
Che_Chen_Trung_Hoa_-_Vinh_Loc,Restaurant,Vietnamese,2110_Vinh_Loc,Binh_Chanh,4.1,10000
Hu_Tieu_&_Giai_Khat_-_Tran_Dai_Nghia,Bistro,Vietnamese,B6/1_Tran_Dai_Nghia,Binh_Chanh,3.8,11500
Chan_&_Me_Ga_Nuong_Thu_-_Duong_So_2B,Restaurant,Vietnamese,Cau_Kenh_Xang,Binh_Chanh,3.2,10500
Com_Nieu_Sai_Gon_Xua,Bistro,Vietnamese,"Lo_11B_KDC_Happy_City,_Nguyen_Van_Linh,_Xa_Binh_Hung",Binh_Chanh,3.45,27000
Thanh_Nghiep_Bakery_-_Quoc_Lo_50,Bakery,Vietnamese,"A19/12_Quoc_Lo_50,_Xa_Binh_Hung",Binh_Chanh,3.15,204500
Hiktea_-_Duong_So_10,Cafe,Taiwanese,"38_Duong_So_10,_Xa_Binh_Hung",Binh_Chanh,3.95,25000
ABC_Bakery_-_Binh_Chanh,Bakery,Asian,"A_27/9_Quoc_Lo_50,_P._Binh_Hung",Binh_Chanh,3.9,32500
Xom_Tra_Sua,Cafe,Vietnamese,"D7/49_Trinh_Nhu_Khue,_Xa_Binh_Chanh",Binh_Chanh,4.05,20000
Cop_Cafe,Cafe,Vietnamese,E11/9_Thoi_Hoa,Binh_Chanh,3.25,12500
Cau_Ca_Giai_Tri_Lang_Ta_-_Duong_So_11,Bistro,Vietnamese,1A_Duong_So_11,Binh_Chanh,4.1,80000
Bo_La_Lot_Mo_Chai_-_Trung_Son,Restaurant,Vietnamese,"Duong_So_4,_Xa_Binh_Hung",Binh_Chanh,3.25,20000
Food_Studio_-_Centre_Mall_Pham_Hung,Bistro,Japanese,"Lau_3_Centre_Mall,_C6/27_Pham_Hung",Binh_Chanh,3.25,10000
Tri_An_Bakery_&_Milktea,Bakery,Vietnamese,"1/27_Dinh_Duc_Thien,_Ap_4,_X._Tan_Quy_Tay",Binh_Chanh,3.35,195000
Banh_Canh_Phan_Thiet_-_Duong_So_4,Bistro,Vietnamese,Duong_So_4,Binh_Chanh,3.6,30000
Peppa_Food_-_Giao_Com_Van_Phong,Bistro,Vietnamese,"Chung_Cu_The_Easter_City,_6B_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,4.5,15000
Kem_Xoi_Dua_Bu_Bu_-_Pham_Hung,Cafe,Vietnamese,"C4/36_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,4.3,15000
Cafe_Nguyen_Chat_10k,Cafe,Vietnamese,22_Duong_So_5,Binh_Chanh,3.6,15000
The_Chapel_Coffee_-_Duong_So_1,Cafe,Vietnamese,136_Duong_So_1,Binh_Chanh,4.2,30000
Quan_An_Leo's_House,Bistro,Vietnamese,C1/31G_Pham_Hung,Binh_Chanh,4.05,30000
Banh_Cuon_Ngon_-_Duong_So_5,Restaurant,Vietnamese,81_Duong_So_5,Binh_Chanh,3.55,15000
Co_Mai_-_Banh_Khot_&_Banh_Mi_Hap,Bistro,Vietnamese,"A18/19_Quoc_Lo_50,_Xa_Binh_Hung",Binh_Chanh,4.8,20000
Ly_Lan_-_Quan_An_&_Cafe,Cafe,Vietnamese,"B9_Khu_Dan_Cu_Hanh_Phuc,_Nguyen_Van_Linh",Binh_Chanh,4.5,15000
Tra_Sua_12K_-_Pham_Hung,Cafe,Vietnamese,Hem_C7/21C_Pham_Hung,Binh_Chanh,3.4,20000
Ngon_Ngon_-_Banh_Mi_&_Banh_Uot,Restaurant,Vietnamese,"D13/12A_Duong_Dinh_Cuc,_Xa_Tan_Kien",Binh_Chanh,4.45,15000
Quan_Yen_-_Bun_Rieu_&_Bun_Bo_-_Pham_Hung,Bistro,Vietnamese,"Hem_51_(C5)_Pham_Hung,_X._Binh_Hung",Binh_Chanh,3.4,20000
Lotteria_-_Vinh_Loc,Restaurant,Korean,D19/16C_Vinh_Loc_B,Binh_Chanh,3.8,255000
Chao_Long_Mat_&_Ca_-_Pham_Hung,Restaurant,Vietnamese,"C9/2_Pham_Hung,_P._Binh_Hung",Binh_Chanh,3.4,35000
"Mr_Thinh_-_Khoai_Lac,_Chuoi_Lac_&_Sake_Lac",Restaurant,Vietnamese,"C9/4A1_Pham_Hung,_Xa_Binh_Hung",Binh_Chanh,4,17500
Mut_Dua_Ngoc_Giau,Restaurant,Vietnamese,Duong_So_9A,Binh_Chanh,3.4,20000
Com_Ga_Xoi_Mo_Frenzy_-_Vinh_Loc_A,Bistro,Vietnamese,"F8/38_Ap_6,_P._Vinh_Loc_A",Binh_Chanh,3.7,20000
Tea_&_Time_-_Tra_Sua,Cafe,Vietnamese,"Thoi_Hoa,_Xa_Vinh_Loc_A",Binh_Chanh,4.6,14000
San_San_-_Chao_Ech_Singapore,Bistro,Singapore,"D19/23/12A_Vinh_Loc,_Ap_4A,_P._Vinh_Loc_B",Binh_Chanh,5,35000
LoveGarden_Cafe,Cafe,Vietnamese,"Duong_So_6B_,_Vinh_Loc_B",Binh_Chanh,3,20000
Sinh_To_Trung_Son,Cafe,Vietnamese,"16C_Duong_So_8,_Xa_Binh_Hung",Binh_Chanh,3.4,22500
Trai_Cay_To_-_Pham_Hung,Restaurant,Vietnamese,"C6/27A_Pham_Hung,_X._Binh_Hung",Binh_Chanh,3.1,12500
Co_Tuyet_-_Sinh_To_&_Ca_Cao_Dua,Cafe,Vietnamese,31_Duong_So_9,Binh_Chanh,3.65,20000
An_Vat_Ty_Pun_-_Banh_Trang_Ha_Cao_&_Mi_Tron_-_Quoc_Lo_50,Restaurant,Vietnamese,"A29/37C_Quoc_Lo_50,_Xa_Binh_Hung_(Hem_A27/7_PNJ)",Binh_Chanh,3.3,50000
Banh_Mi_Ha_Noi_-_Pham_Hung,Bakery,Vietnamese,C4/14D2_Pham_Hung,Binh_Chanh,3.8,12500
