Name,Type,Cuisine,Address,District,Rating,Average
"LongBuri_Cancook__Gan_Bo,_Chan_Ga_Sot_Thai",Restaurant,Vietnamese,"142/34_Thanh_Xuan_22,_P._Thanh_Xuan",12,4.15,100000
Nha_Hang_Dai_Phu,Restaurant,Vietnamese,"56_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,3.85,195000
Moda_House_Coffee__To_Ky,Cafe,Vietnamese,263/90_To_Ky,12,4,31000
Met_Quan__Bun_Dau_Mam_Tom,Bistro,Vietnamese,689B_Nguyen_Van_Qua,12,3.3,60000
Kimbap_Tuoi__Shop_Online,Restaurant,Korean,Phan_Van_Hon,12,3.7,30000
Khu_Du_Lich_Ben_Xua,Restaurant,Vietnamese,"39A_Ha_Huy_Giap,_P._Thanh_Loc",12,3.3,190000
Quan_An_Han_Quoc__Truong_Chinh,Bistro,Korean,"139_Truong_Chinh,_P._Tan_Thoi_Nhat",12,3.35,56000
Sky_17_Cafe_&_Restaurant,Restaurant,Vietnamese,"27_Truong_Chinh,_P._Tan_Thoi",12,3.2,163500
Meo_Beo_Tira__Tiramitsu_Matcha__Shop_Online,Restaurant,Vietnamese,"170_Le_Van_Khuong,_Thoi_An",12,4.4,47500
Zolo__Tea_&_Coffee,Cafe,Taiwanese,5/1L_To_Ky,12,4.3,32500
Oc_Nho_Sai_Gon__Nguyen_Anh_Thu,Bistro,Vietnamese,"181/4_Nguyen_Thi_Dang,_P._Hiep_Thanh",12,3.85,100000
Sado_Chado__Tra_Sua_Nhat_Ban__Nguyen_Anh_Thu,Cafe,Japanese,"77/6_Nguyen_Anh_Thu,_Ap_Van_Hanh,_P._Trung_My_Tay",12,3.7,37000
Com_Chien_Thai_&_Mi_Tron_Ga_Quay_Hong_Kong__Tuk_Tuk,Bistro,Vietnamese,"7_To_Ky,_P._Tan_Chanh_Hiep",12,4.45,37500
Golden_Coffee,Cafe,Vietnamese,"CV_Phan_Mem_Quang_Trung,_To_Ky",12,3.35,31500
Ganh_Dau__Mon_Ngon_Ha_Noi,Bistro,Vietnamese,"119B_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,3.55,119000
BUN_THIT_NUONG_DAU_DAU__THANH_XUAN_24,Bistro,Vietnamese,"207/30/6_Thanh_Xuan_24,_P._Thanh_Xuan",12,4.05,179500
Chao_Long_Ba_Tu_Map,Bistro,Vietnamese,"197_Thanh_Loc_15,_P._Thanh_Loc",12,4.65,37500
Lau_De_Duc_Thanh,Bistro,Vietnamese,"471_Tan_Thoi_Hiep_21,_P_.Tan_Thoi_Hiep",12,3.4,132500
Royaltea__Tra_Sua_Hong_Kong__Phan_Van_Hon,Cafe,Chinese,"22/14_Phan_Van_Hon,_P._Tan_Thoi_Nhat",12,3.15,48000
Venus_Cafe__Nguyen_Van_Qua,Cafe,Vietnamese,"503C_Nguyen_Van_Qua,_P._Dong_Hung_Thuan",12,3.45,28500
