id,Name,Types,Cuisine,Address,Time,Rating,Average
D5_0001,Osaka__Com_Tho_Nhat_Ban,Bistro,Japanese,"64_Nguyen_Thoi_Trung,_P._6",5,3.4,40000
D5_0002,Pizza_Hut__Nguyen_Trai,Restaurant,Italian,264266_Nguyen_Trai,5,3.65,240000
D5_0003,Thien_Du_&_Sky_Sushi__Tran_Hung_Dao,Restaurant,Japanese,"1089A_Tran_Hung_Dao,_P._5",5,3.55,70000
D5_0004,Tokori_BBQ__Nha_Hang_Nuong_Nhat_Ban__Ngo_Quyen,Restaurant,Japanese,"105_Ngo_Quyen,_P._11",5,4.15,350000
D5_0005,Texas_Chicken__Nguyen_Van_Cu,Restaurant,USA,217B_Nguyen_Van_Cu,5,3.5,147500
D5_0006,Quan_223__Banh_Flan_Thap_Cam,Restaurant,Vietnamese,223_Tran_Binh_Trong,5,3.4,18500
D5_0007,Lau_Cua_Dat_Mui__Tran_Hung_Dao,Bistro,Vietnamese,"661_Tran_Hung_Dao,_P._1",5,3.55,150000
D5_0008,Banh_Bao_Tho_Phat__Nguyen_Tri_Phuong,Bakery,Vietnamese,"78_Nguyen_Tri_Phuong,_P._7",5,3.4,24000
D5_0009,L'angfarm_Restaurant__Tran_Hung_Dao,Restaurant,Vietnamese,"771__773__775_Tran_Hung_Dao,_P._1",5,3.7,64000
D5_0010,Tra_Dao_Momo__Tran_Phu,Restaurant,Vietnamese,"401B_Tran_Phu,_P._7",5,3.5,23500
D5_0011,Than_Rong_Mi_Nhat__Ramen,Bistro,Japanese,"245_Tran_Hung_Dao,_P._10",5,3.45,48000
D5_0012,Lau_Nuong_Thai_Lan_So_7__Poi_Pet,Bistro,Thailand,31/A2_Hung_Vuong,5,3.6,65000
D5_0013,Quan_An_Maika__Bun_Thai_&_Com_Tron,Bistro,Vietnamese,"528_Nguyen_Trai,_P._8",5,3.35,35000
D5_0014,Banh_Canh_Cua_14__Tran_Binh_Trong,Bistro,Vietnamese,"221_Tran_Binh_Trong,_P._3",5,3.5,50000
D5_0015,Di_Lan__Cacao_Dua,Restaurant,Vietnamese,"329_Hung_Vuong,_P._9",5,3.55,11500
D5_0016,Musa__Ca_Ri_De_An_Do__Su_Van_Hanh,Bistro,Indian,001_Lo_B_Chung_Cu_Su_Van_Hanh,5,3.3,200000
D5_0017,Tien_Phat__Diem_Tam_Hong_Kong,Bistro,Chinese,"18_Ky_Hoa,_P._11",5,3.65,80000
D5_0018,Khang_Dim_Sum_Bar,Restaurant,Chinese,"Lau_4,_20_Nguyen_Duy_Duong,_P._8",5,3.55,180000
D5_0019,Sushi_M&H__Nguyen_Van_Cu,Bistro,Japanese,"185/2_Nguyen_Van_Cu,_P._2",5,3.2,88500
D5_0020,Bep_Xanh_An_Duyen__Nha_Hang_Chay,Restaurant,Vietnamese,10_Nguyen_Tri_Phuong,5,3.95,140000
