id,Name,Type,Cuisine,Address,District,Rating,Average
CC_0001,Khu_Di_Tich_Lich_Su_Dia_Dao_Cu_Chi,Bistro,Vietnamese,"Ap_Phu_Hiep,_X._Phu_My_Hung",Cu_Chi,3.85,425000
CC_0002,Xuan_Anh_-_Am_Thuc_Cu_Chi,Restaurant,Vietnamese,"79_Mui_Lon,_Tan_An_Hoi",Cu_Chi,3.55,185000
CC_0003,Be_Man_-_Quan_An_Gia_Dinh_-_KCN_Dong_Nam,Cafe,Vietnamese,"Huong_Lo_2,_Ap_Xom_Moi,_Xa_Trung_Lap_Ha",Cu_Chi,3.6,147500
CC_0004,Bo_To_Truong_Lac,Bistro,Vietnamese,Trung_Lap,Cu_Chi,3.25,160000
CC_0005,Bo_To_Xuan_Anh_-_Cu_Chi,Bistro,Vietnamese,"79_Tinh_Lo_8,_Ap_Tay,_Xa_An_Hoi",Cu_Chi,3.3,160000
CC_0006,Du_Lich_Sinh_Thai_Van_Hoa_Dan_Toc_Thieu_So_Cu_Chi,Restaurant,Vietnamese,"Ap_4,_Xa_Nhuan_Duc",Cu_Chi,3.45,160000
CC_0007,Bo_To_Kim_Dung,Bistro,Vietnamese,"638_Nguyen_Thi_Ranh,_Ap_Nga_Tu",Cu_Chi,4.05,150000
CC_0008,Sushi_World_-_Quoc_Lo_22,Restaurant,Japanese,779_Quoc_Lo_22,Cu_Chi,3.6,300000
CC_0009,Tiem_Banh_Phuong_Nhi,Bakery,Vietnamese,725_Quoc_Lo_22,Cu_Chi,3.6,150000
CC_0010,Quan_9999_-_Bo_To_&_Ga_Ta,Bistro,Vietnamese,"23_Duong_So_28,_Ap_Hau,_Xa_Tan_Thong_Hoi",Cu_Chi,4,225000
CC_0011,Binh_My_Tay_-_Quan_An_&_Cau_Ca_Giai_Tri,Bistro,Vietnamese,236_-_238_Vo_Van_Bich,Cu_Chi,3.25,215000
CC_0012,Am_Thuc_4_Xuyen_-_Quan_An_Gia_Dinh,Bistro,Vietnamese,"Ho_Van_Tang,_Xa_Tan_Phu_Trung",Cu_Chi,3.25,125000
CC_0013,La_Maison_De_Campagne_Resort,Restaurant,French,"12_Duong_189,_Tinh_Lo_8,_Xa_Binh_My",Cu_Chi,3.7,2250000
CC_0014,Buffet_Ngon_99K,Restaurant,Vietnamese,"71_Tinh_Lo_8,_TT._Cu_Chi",Cu_Chi,4.05,49558
CC_0015,Vua_Buffet,Restaurant,Vietnamese,"9_Nguyen_Dinh_Huan,_KP._1",Cu_Chi,4,49560
CC_0016,Buffet_Tet_Ga_99k_-_Trang_Bang,Restaurant,Vietnamese,"429_Quoc_Lo_22,_Xa_Tan_Thong_Hoi",Cu_Chi,3.25,49560
CC_0017,Buffet_Ngoi_Xua,Restaurant,Vietnamese,"9/3_Nguyen_Van_On,_TT._Cu_Chi",Cu_Chi,3.25,99000
CC_0018,Anfafoco_-_Da_Ca_Say_Gion_Online,Restaurant,Vietnamese,"35_Duong_145,_Xa_Binh_My",Cu_Chi,3.25,120000
CC_0019,Kim_Ma_2_-_Bo_To_Cu_Chi,Restaurant,Vietnamese,"Tinh_Lo_8,_Xa_Tan_An_Hoi",Cu_Chi,3.7,42570
CC_0020,Bo_To_Vinh_Xuan,Bistro,Vietnamese,QL_22_Tan_Thong_Hoi,Cu_Chi,4.2,90000
CC_0021,Vua_Trai_Cay,Restaurant,Vietnamese,"33_Duong_365,_Xa_Tan_An_Hoi",Cu_Chi,3.25,95000
CC_0022,Quan_Suoi_Loi_-_Quan_An_Binh_Dan,Restaurant,Vietnamese,"30/18D_Ben_Than,_Ap_1,_Xa_Tan_Thanh_Dong",Cu_Chi,3.6,74000
CC_0023,Nong_Trang_Xanh_-_Nguyen_Thi_Ranh,Restaurant,Vietnamese,"816/18_Nguyen_Thi_Ranh,_Xa_An_Nhon_Tay",Cu_Chi,3.6,25250
CC_0024,Hai_He_-_Chao_Mon_Luon_&_Ech,Bistro,Vietnamese,"Duong_Ben_Than,_Ap_1,_Xa_Hoa_Phu",Cu_Chi,3.5,25100
CC_0025,Fiopabakery_-_Tiem_Banh_Online,Restaurant,Vietnamese,"282_Ap_2,_Xa_Phuoc_Vinh_An",Cu_Chi,3.3,105000
CC_0026,Duong_Son_Quan_-_Lau_De,Bistro,Vietnamese,Tinh_Lo_8,Cu_Chi,3,80000
CC_0027,Dac_San_De_Ninh_Binh_-_Nguyen_Dinh_Huan,Bistro,Vietnamese,12_Nguyen_Dinh_Huan,Cu_Chi,4.05,25150
CC_0028,Quan_Lam_-_Lau_Bo_&_Cac_Mon_Nhau_Binh_Dan,Bistro,Vietnamese,224/A_Nguyen_Kim_Cuong,Cu_Chi,3,25125
